,student_id,ave_score,number,grade,composite_scores
0,13012,3.0,1,80.5,10.350000000000001
1,13564,0.0,0,66.5,6.65
2,13599,6.0,1,70.0,11.399999999999999
3,13685,10.0,2,76.5,15.05
4,13947,7.0,2,77.0,13.0
5,13948,4.5,2,77.0,11.25
6,13949,0.0,0,75.5,7.550000000000001
7,13950,15.0,2,79.5,18.85
8,13951,27.0,1,95.5,28.65
9,13952,0.0,0,80.0,8.0
10,13953,0.0,0,68.5,6.8500000000000005
11,13954,12.0,1,76.5,16.25
12,13955,0.0,0,69.5,6.95
13,13956,21.0,1,83.0,23.2
14,13957,0.0,0,61.0,6.1000000000000005
15,13958,12.5,2,55.0,14.65
16,13959,18.0,1,85.5,21.35
17,13960,20.0,1,79.5,22.15
18,13961,18.0,2,69.5,19.95
19,13962,0.0,0,91.5,9.15
20,13963,8.333333333333334,3,60.0,12.433333333333334
21,13964,0.0,0,87.5,8.75
22,13965,0.0,0,91.0,9.1
23,13966,32.0,1,60.0,28.599999999999998
24,13967,14.0,2,89.5,19.15
25,13968,0.0,0,62.0,6.2
26,13969,0.0,0,63.5,6.3500000000000005
27,13970,11.5,2,62.5,14.7
28,13971,9.5,2,57.5,12.8
29,13972,0.0,0,64.0,6.4
30,13973,4.0,1,71.5,10.15
31,13974,9.333333333333334,3,74.5,14.583333333333332
32,13975,4.0,1,72.5,10.25
33,13976,21.0,1,68.0,21.7
34,13977,0.0,0,86.0,8.6
35,13978,0.0,0,60.5,6.050000000000001
36,13979,10.0,2,69.5,14.350000000000001
37,13980,0.0,0,77.5,7.75
38,13981,0.0,0,77.5,7.75
39,13982,0.0,0,73.5,7.3500000000000005
40,13983,0.0,0,87.0,8.700000000000001
41,13984,9.0,1,68.5,13.350000000000001
42,13985,0.0,0,84.5,8.450000000000001
43,13986,21.0,1,73.0,22.2
44,13987,12.0,1,74.0,15.999999999999998
45,13988,0.0,0,66.5,6.65
46,13989,5.0,1,63.0,10.0
47,13990,0.0,0,82.0,8.200000000000001
48,13991,0.0,0,95.0,9.5
49,13992,6.0,1,95.0,13.899999999999999
50,13993,18.0,1,88.0,21.6
51,13994,0.0,0,65.0,6.5
52,13995,0.0,0,83.0,8.3
53,13996,0.0,0,87.5,8.75
54,13997,0.0,0,70.0,7.0
55,13998,18.0,1,55.0,18.299999999999997
56,13999,0.0,0,58.5,5.8500000000000005
57,14000,14.0,1,79.0,17.9
58,14001,5.0,2,79.5,11.85
59,14002,0.0,0,82.5,8.25
60,14003,0.0,0,81.5,8.15
61,14004,0.0,0,73.5,7.3500000000000005
62,14005,0.0,0,81.5,8.15
63,14006,18.0,1,80.0,20.799999999999997
64,14007,5.0,1,76.5,11.350000000000001
65,14008,5.0,2,85.0,12.4
66,14009,0.0,0,74.0,7.4
67,14010,18.0,1,67.5,19.549999999999997
68,14011,1.0,1,66.0,7.5
69,14012,4.0,1,67.5,9.75
70,14013,0.0,0,55.5,5.550000000000001
71,14014,0.0,0,64.0,6.4
72,14015,0.0,0,76.5,7.65
73,14016,8.0,2,70.5,13.05
74,14017,0.0,0,91.5,9.15
75,14018,27.0,2,72.0,26.499999999999996
76,14019,0.0,0,83.5,8.35
77,14020,15.5,2,69.5,18.2
78,14021,8.0,1,71.0,12.9
79,14022,4.0,1,65.5,9.55
80,14023,6.0,1,73.5,11.75
81,14024,32.0,1,63.0,28.9
82,14025,0.0,0,83.0,8.3
83,14026,3.0,2,90.5,11.55
84,14027,0.0,0,79.5,7.95
85,14028,0.0,0,80.5,8.05
86,14029,14.0,2,77.0,17.9
87,14030,28.0,1,72.0,26.999999999999996
88,14031,0.0,0,69.0,6.9
89,14032,0.0,0,58.0,5.800000000000001
90,14033,0.0,0,75.5,7.550000000000001
91,14034,0.0,0,72.0,7.2
92,14035,6.0,1,93.0,13.7
93,14036,0.0,0,77.0,7.7
94,14037,0.0,0,65.5,6.550000000000001
95,14038,0.0,0,54.5,5.45
96,14039,0.0,0,60.5,6.050000000000001
97,14040,0.0,0,61.5,6.15
98,14041,0.0,0,81.0,8.1
99,14042,0.0,0,87.0,8.700000000000001
100,14043,0.0,0,77.0,7.7
101,14044,0.0,0,91.0,9.1
102,14045,9.0,1,71.0,13.600000000000001
103,14046,7.0,3,92.0,14.700000000000001
104,14047,7.5,2,73.0,12.950000000000001
105,14048,4.0,1,83.0,11.3
106,14049,5.0,2,81.5,12.05
107,14050,3.0,1,77.0,10.0
108,14051,12.0,1,92.5,17.849999999999998
109,14052,0.0,0,82.5,8.25
110,14053,15.0,2,79.0,18.8
111,14054,9.0,1,63.5,12.850000000000001
112,14055,18.0,1,93.0,22.1
113,14056,0.0,0,65.5,6.550000000000001
114,14057,24.0,1,60.0,22.999999999999996
115,14058,4.0,1,72.0,10.2
116,14059,0.0,0,97.0,9.700000000000001
117,14060,28.0,1,53.5,25.15
118,14061,0.0,0,59.0,5.9
119,14062,0.0,0,58.0,5.800000000000001
120,14063,14.5,2,73.0,17.85
121,14064,0.0,0,69.5,6.95
122,14065,0.0,0,62.0,6.2
123,14066,0.0,0,67.5,6.75
124,14067,12.0,1,94.0,18.0
125,14068,6.0,1,70.5,11.45
126,14069,0.0,0,79.0,7.9
127,14070,0.0,0,73.5,7.3500000000000005
128,14071,4.5,2,86.5,12.2
129,14072,8.0,1,68.5,12.65
130,14073,32.0,1,80.0,30.599999999999998
131,14074,16.0,1,91.5,20.549999999999997
132,14075,0.0,0,69.0,6.9
133,14076,14.0,1,79.0,17.9
134,14077,0.0,0,73.0,7.300000000000001
135,14078,4.0,1,90.5,12.05
136,14079,4.0,1,71.0,10.100000000000001
137,14080,0.0,0,73.5,7.3500000000000005
138,14081,2.0,1,67.0,8.3
139,14082,8.0,1,73.5,13.15
140,14083,18.0,1,76.0,20.4
141,14084,9.0,1,77.5,14.25
142,14085,0.0,0,85.5,8.55
143,14086,0.0,0,66.0,6.6000000000000005
144,14087,8.0,2,63.0,12.3
145,14088,0.0,0,64.0,6.4
146,14089,15.0,1,76.5,18.35
147,14090,0.0,0,61.0,6.1000000000000005
148,14091,6.0,1,76.5,12.05
149,14092,0.0,0,69.5,6.95
150,14093,0.0,0,60.0,6.0
151,14094,0.0,0,57.5,5.75
152,14095,0.0,0,73.0,7.300000000000001
153,14096,0.0,0,55.0,5.5
154,14097,0.0,0,82.5,8.25
155,14098,12.0,1,94.0,18.0
156,14099,0.0,0,69.0,6.9
157,14100,24.0,1,73.5,24.349999999999998
158,14101,10.5,2,85.0,16.25
159,14102,8.0,1,72.5,13.05
160,14103,22.666666666666668,3,59.5,22.416666666666668
161,14104,0.0,0,88.5,8.85
162,14105,0.0,0,73.5,7.3500000000000005
163,14106,36.0,1,86.0,34.0
164,14107,18.0,1,71.5,19.95
165,14108,36.0,1,84.0,33.8
166,14109,3.0,1,80.0,10.3
167,14110,0.0,0,70.0,7.0
168,14111,8.0,1,81.0,13.899999999999999
169,14112,0.0,0,71.0,7.1000000000000005
170,14113,18.0,1,67.5,19.549999999999997
171,14114,0.0,0,93.0,9.3
172,14115,9.0,2,76.5,14.350000000000001
173,14116,0.0,0,78.5,7.8500000000000005
174,14117,6.0,1,69.0,11.3
175,14118,0.0,0,70.0,7.0
176,14119,0.0,0,72.5,7.25
177,14120,0.0,0,86.5,8.65
178,14121,16.0,1,67.5,18.15
