,ID,知识,艺术,体育,品德,劳动,消费
0,14452,A1,B1,C1,D1,E1,F7
1,14453,A2,B2,C2,D2,E1,F1
2,14454,A2,B1,C2,D2,E2,F1
3,14455,A2,B3,C1,D1,E1,F1
4,14456,A2,B3,C2,D2,E1,F7
5,14457,A2,B3,C2,D2,E4,F1
6,14458,A2,B2,C3,D3,E1,F1
7,14459,A2,B3,C2,D2,E1,F1
8,14460,A2,B1,C2,D2,E1,F1
9,14461,A2,B2,C2,D2,E1,F1
10,14462,A2,B2,C2,D2,E4,F1
11,14463,A2,B1,C2,D2,E1,F1
12,14464,A2,B2,C2,D2,E3,F7
13,14465,A2,B1,C2,D2,E1,F1
14,14466,A2,B2,C2,D2,E4,F1
15,14467,A2,B3,C2,D2,E4,F1
16,14468,A2,B1,C2,D2,E1,F7
17,14469,A2,B1,C2,D2,E1,F1
18,14470,A2,B3,C2,D2,E1,F7
19,14471,A2,B2,C2,D2,E1,F1
20,14472,A2,B4,C3,D3,E1,F1
21,14473,A2,B2,C2,D2,E1,F1
22,14474,A2,B2,C2,D2,E1,F7
23,14475,A2,B1,C1,D1,E1,F1
24,14476,A2,B3,C3,D3,E1,F2
25,14477,A2,B2,C2,D2,E1,F1
26,14478,A2,B2,C2,D2,E1,F7
27,14479,A2,B3,C2,D2,E4,F1
28,14480,A2,B3,C2,D2,E1,F1
29,14481,A2,B2,C2,D2,E1,F1
30,14482,A2,B1,C2,D2,E1,F1
31,14483,A2,B4,C2,D2,E4,F1
32,14484,A2,B1,C1,D1,E1,F1
33,14485,A2,B1,C2,D2,E1,F1
34,14486,A2,B2,C2,D2,E1,F1
35,14487,A2,B2,C2,D2,E1,F1
36,14488,A2,B3,C2,D2,E1,F1
37,14489,A2,B2,C2,D2,E1,F1
38,14490,A2,B2,C2,D2,E4,F1
39,14491,A2,B2,C2,D2,E1,F1
40,14492,A2,B2,C2,D2,E1,F1
41,14493,A2,B1,C2,D2,E1,F1
42,14494,A2,B2,C3,D3,E1,F1
43,14495,A2,B1,C2,D2,E1,F1
44,14496,A2,B1,C2,D2,E1,F1
45,14497,A2,B2,C2,D2,E1,F1
46,14498,A2,B1,C2,D2,E1,F1
47,14499,A2,B2,C2,D2,E2,F1
48,14500,A1,B2,C2,D2,E1,F1
49,14501,A2,B1,C2,D2,E1,F1
50,14502,A2,B1,C2,D2,E3,F1
51,14503,A2,B2,C2,D2,E1,F1
52,14504,A2,B2,C2,D2,E1,F1
53,14505,A2,B2,C1,D1,E1,F1
54,14506,A2,B2,C2,D2,E1,F1
55,14507,A2,B1,C2,D2,E2,F1
56,14508,A2,B2,C2,D2,E1,F5
57,14509,A2,B1,C2,D2,E1,F1
58,14510,A2,B3,C2,D2,E1,F1
59,14511,A2,B2,C2,D2,E1,F1
60,14512,A2,B2,C3,D3,E1,F1
61,14513,A2,B2,C3,D3,E1,F1
62,14514,A2,B2,C2,D2,E1,F1
63,14515,A1,B1,C3,D3,E1,F1
64,14516,A2,B1,C2,D2,E1,F1
65,14517,A2,B3,C2,D2,E1,F7
66,14518,A2,B2,C2,D2,E1,F1
67,14519,A2,B1,C2,D2,E1,F1
68,14520,A2,B1,C2,D2,E1,F1
69,14521,A2,B1,C2,D2,E1,F1
70,14522,A2,B2,C2,D2,E1,F1
71,14523,A2,B2,C2,D2,E1,F1
72,14524,A2,B2,C2,D2,E3,F1
73,14525,A2,B3,C2,D2,E4,F7
74,14526,A2,B2,C2,D2,E1,F1
75,14527,A2,B3,C2,D2,E1,F1
76,14528,A2,B2,C2,D2,E1,F1
77,14529,A2,B3,C3,D3,E1,F1
78,14530,A2,B1,C3,D3,E3,F1
79,14531,A2,B1,C2,D2,E2,F1
80,14532,A2,B1,C2,D2,E1,F1
81,14533,A2,B1,C2,D2,E1,F7
82,14534,A2,B2,C2,D2,E1,F1
83,14535,A2,B3,C2,D2,E1,F1
84,14536,A2,B2,C2,D2,E1,F1
85,14537,A2,B2,C2,D2,E1,F1
86,14538,A2,B3,C2,D2,E1,F1
87,14539,A2,B1,C2,D2,E1,F1
88,14540,A2,B2,C3,D3,E1,F1
89,14541,A2,B2,C3,D3,E1,F1
90,14542,A2,B2,C2,D2,E1,F1
91,14543,A2,B2,C2,D2,E1,F1
92,14544,A2,B1,C3,D3,E1,F1
93,14545,A2,B2,C2,D2,E1,F1
94,14546,A2,B2,C3,D3,E3,F1
95,14547,A2,B2,C2,D2,E1,F1
96,14548,A2,B2,C2,D2,E1,F1
97,14549,A2,B2,C2,D2,E1,F1
98,14550,A2,B2,C3,D3,E1,F1
99,14551,A2,B2,C2,D2,E1,F1
100,14552,A2,B2,C2,D2,E1,F1
101,14553,A2,B2,C3,D3,E1,F1
102,14554,A2,B1,C2,D2,E1,F1
103,14555,A2,B4,C2,D2,E1,F7
104,14556,A2,B3,C2,D2,E1,F1
105,14557,A2,B1,C2,D2,E4,F1
106,14558,A2,B3,C3,D3,E1,F1
