,student_id,credits,study_time,program_grade,subject
0,14454,3,149,85,语文
1,14454,3,105,83,数学
2,14454,2,105,57,英语
3,14454,2,72,95,物理
4,14454,2,167,60,化学
5,14454,2,77,78,生物
6,14454,0,203,71,政治
7,14454,2,111,55,历史
8,14454,2,187,80,地理
9,14454,0,113,81,音乐
10,14454,0,88,75,美术
11,14454,0,86,81,体育
12,14479,3,152,93,语文
13,14479,3,186,90,数学
14,14479,2,187,70,英语
15,14479,2,135,87,物理
16,14479,2,193,59,化学
17,14479,2,204,66,生物
18,14479,0,198,81,政治
19,14479,2,192,78,历史
20,14479,2,89,63,地理
21,14479,0,202,68,音乐
22,14479,0,156,86,美术
23,14479,0,70,53,体育
24,14486,3,98,69,语文
25,14486,3,191,76,数学
26,14486,2,151,94,英语
27,14486,2,171,93,物理
28,14486,2,161,85,化学
29,14486,2,225,85,生物
30,14486,0,126,54,政治
31,14486,2,111,72,历史
32,14486,2,124,98,地理
33,14486,0,233,76,音乐
34,14486,0,72,54,美术
35,14486,0,105,67,体育
36,14549,3,182,93,语文
37,14549,3,233,84,数学
38,14549,2,135,76,英语
39,14549,2,228,56,物理
40,14549,2,72,61,化学
41,14549,2,182,51,生物
42,14549,0,102,50,政治
43,14549,2,212,98,历史
44,14549,2,61,66,地理
45,14549,0,162,58,音乐
46,14549,0,159,70,美术
47,14549,0,88,75,体育
48,14550,3,124,91,语文
49,14550,3,227,50,数学
50,14550,2,147,92,英语
51,14550,2,212,53,物理
52,14550,2,73,96,化学
53,14550,2,141,74,生物
54,14550,0,60,58,政治
55,14550,2,165,98,历史
56,14550,2,226,77,地理
57,14550,0,196,84,音乐
58,14550,0,209,97,美术
59,14550,0,207,89,体育
60,14551,3,194,59,语文
61,14551,3,90,54,数学
62,14551,2,99,67,英语
63,14551,2,88,64,物理
64,14551,2,207,94,化学
65,14551,2,92,82,生物
66,14551,0,213,90,政治
67,14551,2,64,91,历史
68,14551,2,209,94,地理
69,14551,0,239,75,音乐
70,14551,0,119,80,美术
71,14551,0,195,86,体育
72,14552,3,61,71,语文
73,14552,3,176,59,数学
74,14552,2,182,89,英语
75,14552,2,132,91,物理
76,14552,2,167,89,化学
77,14552,2,173,99,生物
78,14552,0,84,68,政治
79,14552,2,182,94,历史
80,14552,2,228,66,地理
81,14552,0,237,70,音乐
82,14552,0,74,91,美术
